评论,时间,点赞数
八骏日行三万里，穆王何事不重来我命运般的小嫂子啊啊啊啊[大哭][大哭][大哭][大哭],2021-02-01 20:36:30,224
(复制 )来，我发一下大家想要的道歉:1头像描图亚瑟，已找到原画师，请向原画师道歉，画师本人素质好被偷了东西不追究不代表小偷是对的，不代表小偷有脸继续使用这些东西2看番剧的友善提醒换头像，ac回复:来告我啊，求求你了。足以看出此人素质低下，无版权意识，建议ac的歌可以全部无授权使用，毕竟这是本人的态度(虽然估计没人瞧的上)3直播辱骂看番剧的人“疯狗”“小学生暑假啦”，并嘲讽番剧根本没人看，不配让他道歉4加一条，5年前就开始偷aph的东西了，是个惯犯来洗地的粉丝，你giegie这三点道歉，他做到哪点了?随便转发，不客气[脱单doge],2021-07-19 20:58:52,186
歌词有惊艳的地方，但也有笔力不够的地方。比如什么空空，心也空。真得有点水，白瞎了这样好的主题，完全可以更好。起风了那样的词才牛,2021-01-30 12:51:38,394
同志们 咱狙他的目的是为了让他道歉，事情闹大了谁也不好看  建议大家不要进行人身攻击给圈子招黑，就事论事，“某某唱见被某圈粉丝逼到退圈”这肯定会给圈子带来影响。希望大家能克制情绪，不要让别人抓住把柄,2021-07-19 18:56:03,151
落泪了姐妹们  俺是英厨[大哭][大哭]  看到我们宝贝亚瑟这么努力学中文唱歌，我真是太感动了呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜[大哭],2021-07-15 09:22:05,150
各位！！我转一下一位姐妹的话想去k歌对线的请一定要记住：各位养老院的亲们也注意不要被抓把柄了，这ac机灵得很，知道删不利评论，保留那些过激评论。我好多理智评论都被删的干干净净，稍微不理智的被全盘保留。ac就故意做给粉丝看，他想让粉丝以为他有理，帮他脏手,2021-07-19 16:43:14,173
“去到你的城市，吹过你吹过的风，算不算相拥。” ——德卡先生的信箱,2021-02-07 17:13:01,656
好看的高攀不起，丑的又瞧不上，真是可悲啊，好不容易找到了自己的归宿，结果只是暂住几天。,2021-02-04 11:53:50,176
"抱抱英sir，中文真的超难学的，像我们这些有母语环境的还好，真是辛苦你来b站当中文唱见了，虽然你总是跟对面尼桑吵架但是也不至于呜呜呜呜[大哭]希望你在这里过的好些，我会一直支持你的[大哭][大哭]Welcome to bilibili, Mr.Kirkland.",2021-07-15 07:21:29,132
希望那边有吃不完的草莓和饺子,2021-01-26 02:54:17,216
