评论内容,购买商品,星级
「#套餐：葡萄柚益菌多」奶茶挺好喝的 店里面人也特别多  我在美团上点的 也没注意看是不是加冰的  下面的图是我把冰扣出来的剩下的 半杯都是料？我觉得半杯都是冰吧  还有奶茶。奶味没有官亭路那家的足 不是很好喝 一会就会分层了,小料6选1,30
「#套餐：椰椰烧仙草（大杯）」「#葡萄芋圆冻冻」,椰椰烧仙草（大杯）1杯,50
"「#套餐：书亦烧仙草（大杯）」「#招牌烧仙草」
【口味】",【小春哥同款】书亦烧仙草(大杯)1杯,10
很满意的一次就餐体验，整体评价的话我觉得：口味。,【新品】黄金芝士蛋糕厚乳1杯,50
不错,【惠】椰椰烧仙草（大杯）1杯,50
不错不错不错不错不错个大头鬼的,【小春哥同款】书亦烧仙草(大杯)1杯,30
"太太太甜了，底茶不好喝,,Ծ^Ծ,,",小芋圆烧仙草1杯,20
味道不错，分量很足，总体来很喜欢,【小春哥同款】书亦烧仙草(大杯)1杯,50
颜值很高，但喝起来一般般吧。。,葡萄芋圆冻冻1杯,40
"书亦烧仙草书亦烧仙草吗丁啉？嗯(●°u°●)​ 」☝(Θ㉨Θ)你们还是图样   ╭( ′• ㉨ •′ )╭☞警察叔叔！就是这个人！❤️ (  ⚫︎ー⚫︎  ) balalala~
　／　　　   ＼
  /　　　  ○  　\
/　 /  　　    ヽ   \大白
|　/　 　　　  \　|
 \Ԏ　　　　     Ԏ/
　卜−　　   ―イ
　  \　　/\　   /
　　 ︶　   ︶",【小春哥同款】书亦烧仙草(大杯)1杯,50
很满意的一次就餐体验，整体评价的话我觉得：口味多样、环境很小资、服务比较满意。店内饮品口味很多，各种口味都喝着不错。外卖也挺方便的。位置就在簋街电梯入口处，比较方便找到。感觉配着青桔和木鱼的糕点吃不错。,【新品】黄金芝士厚乳烧仙草（大杯）1份,50
「#套餐：书亦烧仙草（大杯）」很好不错实惠干净卫生，味道也不错,【小春哥同款】书亦烧仙草(大杯)1杯,50
发现团购很便宜，而且分店也比较多，晚饭后时间过来，人挺多的。在这么热的天气来一杯冰奶茶真的爽啊！第一口奶茶永远最好喝，我太爱书亦家的烧仙草了！料多 吃半杯就好饱了。烧仙草→_→用料很足，全部材料有：红豆，波霸，椰果和花生碎，主角仙草，仙草味道最好,书亦烧仙草（大杯）1份,50
下雨天到店里喝一杯暖暖的烧仙草真不错😁,【小春哥同款】书亦烧仙草(大杯)1杯,50
好喝好喝很好喝呀里面料很多真的很多,【小春哥同款】书亦烧仙草(大杯)1杯,50
这次就餐整体感觉很赞，比较满意的方面有：口味赞、环境优雅、性价比高。,【小春哥同款】书亦烧仙草(大杯)1杯,50
点的葡萄柚益菌多，少糖少冰，上来一看好多冰啊！让把冰块去掉一点，就是这样的空杯状态。半杯都是料不如说半杯都是冰好了，我这还是点的少冰呢，不知道正常冰还有多少。大学城旁边一家奶茶店的价格不用我说了吧，选书亦是因为看起来装潢不错，可装潢再好，本质上还是奶茶店啊，奶茶不好有什么用！,小料6选1,20
买了好几次了。这次点的「#套餐：黄金珍奶」一点珍珠都没给我放？？美团优惠券买的不配有珍珠么？？无语，改名叫 半杯都没料 吧,【热销】书亦烧仙草（大杯）1杯,10
挺好喝的，服务态度也挺好，会推荐,【小春哥同款】书亦烧仙草(大杯)1杯,50
好喝的不得了，真的(//∇//)真的菜品口味真不错(*๓´╰╯`๓)♡| ू•ૅ㉨•́)ᵎᵎᵎ 被我发现了！╭( ′• ㉨ •′ )╭☞警察叔叔！就是这个人！╭( ′• ㉨ •′ )╭☞警察叔叔！就是这个人！╭( ′• ㉨ •′ )╭☞警察叔叔！就是这个人！,10元代金券1张，可叠加2张,50
人好多。排队得好一会。服务刚刚的,【小春哥同款】书亦烧仙草(大杯)1杯,50
不好喝，太甜了，只能说我不喜欢喝吧，,【小春哥同款】书亦烧仙草(大杯)1杯,10
味道不错 料很足,【小春哥同款】书亦烧仙草(大杯)1杯,50
很满意的一次就餐体验，整体评价的话我觉得：环境。,焦糖珍珠奶茶1杯,40
这次就餐整体感觉很赞，比较满意的方面有：口味、环境、性价比。,【惠】椰椰烧仙草（大杯）1杯,50
不能调糖度简直要了我的命啊啊啊,【小春哥同款】书亦烧仙草(大杯)1杯,50
此次用餐总体来说不错，觉得比较认可的地方有：口味、服务、环境、团购接待、性价比。,【惠】椰椰烧仙草（大杯）1杯,50
我不太喜欢，嗯嗯嗯ヽ(○^㉨^)ﾉ♪,【惠】椰椰烧仙草（大杯）1杯,30
"味道还是可以的
进门店有股糖浆味 主要是服务一般，态度一般，收银业务不熟手忙脚乱，希望再熟悉一下流程",【小春哥同款】书亦烧仙草(大杯)1杯,30
"给朋友买的说棒的很！
【口味】好！
【环境】好！
【服务】好！
【性价比】好！",【小春哥同款】书亦烧仙草(大杯)1杯,50
很满意的一次就餐体验，整体评价的话我觉得：口味。,【小春哥同款】书亦烧仙草(大杯)1杯,50
奶茶非常好喝(✪▽✪)，里面的料也非常多环境也非常好,黑糖小芋圆奶茶1杯,50
很喜欢书亦家那么多料，料实材真哈哈哈哈哈,【热销】书亦烧仙草（大杯）1杯,50
很满意的一次就餐体验，整体评价的话我觉得：口味、环境、服务。,小芋圆烧仙草1杯,50
完美，超好喝,小芋圆烧仙草1杯,50
速度极慢，服务态度贼差。。。。,【小春哥同款】书亦烧仙草(大杯)1杯,10
量很足，很好喝，价格也不贵，服务态度也很好,小料6选1,50
这次就餐整体感觉很赞，比较满意的方面有：服务。,【小春哥同款】书亦烧仙草(大杯)1杯,50
难喝 等待慢。不会再喝第二次了 里面的黑糖倒是放不少 其他料太少了 不合理 奶茶味道极差,【小春哥同款】书亦烧仙草(大杯)1杯,10
可以可以,【小春哥同款】书亦烧仙草(大杯)1杯,50
"好喝！！！！
感觉像葡萄味的果冻！！！！
味道也不是特别甜，比较符合我的口味。
里面还有波波，嚼起来特别好吃！！！！！！
吃着烤肉，喝着奶茶，感觉棒棒的！！！！！！！！！！！！！！！！！！！！！！！！！！！！！",【惠】椰椰烧仙草（大杯）1杯,50
很满意的一次就餐体验，整体评价的话我觉得：环境。,【小春哥同款】书亦烧仙草(大杯)1杯,50
这次就餐整体感觉很赞，比较满意的方面有：性价比。,小料6选1,50
额，还行吧,【小春哥同款】书亦烧仙草(大杯)1杯,50
好喝的没道理，自从发现这家店，像是打开了新世界，每种饮品都超级好喝呀🦆🦆🦆🦆🦆🦆🦆🦆🦆🦆🦆🦆🦆🦆,【小春哥同款】书亦烧仙草(大杯)1杯,50
料很足 包装很好 去很多次啦 少糖不要珍珠比较适合我,牛魔王黑砖奶茶1杯,50
好喝,【小春哥同款】书亦烧仙草(大杯)1杯,50
「#套餐：书亦烧仙草（大杯）」料很多就是太甜了忘了少糖,【小春哥同款】书亦烧仙草(大杯)1杯,50
太烫了,焦糖珍珠奶茶1杯,50
正价买的觉得味道不错料很足。又在美团买了两杯。明显料没有正价的多。这么大的店，要这样何必做活动呢？,10元代金券1张，可叠加2张,10
味道可以，就是等待的时间太长了,【小春哥同款】书亦烧仙草(大杯)1杯,50
440号都出来了，419还没打，等35分钟，服了，还没喝到，心情全没了,【小春哥同款】书亦烧仙草(大杯)1杯,10
味道不错，就是人有点多，排队比较久,牛魔王黑砖奶茶1杯,50
我家闺女最喜欢喝的就是大杯书亦烧仙草，她说里面的烧仙草是她的最爱,【小春哥同款】书亦烧仙草(大杯)1杯,50
此次用餐总体来说不错，觉得比较认可的地方有：口味、环境。,【小春哥同款】书亦烧仙草(大杯)1杯,50
很满意的一次就餐体验，整体评价的话我觉得：口味赞。,【小春哥同款】书亦烧仙草(大杯)1杯,40
不错，便宜大碗，而且用料也很足，好喝又便宜啊！！虽然客人很多，但是小哥哥小姐姐动作还是很快的！！,【新品】黄金芝士厚乳烧仙草（大杯）1份,50
价格不贵，又好喝，送货及时，奶茶就选他家了,【小春哥同款】书亦烧仙草(大杯)1杯,50
