店铺名,店铺所在位置,人均消费,评分,美食名称,店铺图片链接,纬度,经度,最低价格,店铺ID,店铺详情页
CoCo都可（方圆荟5F店）,文明商城,13.0,4.6,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/05784081b1ed0587e4ea65172a76ef7114438.jpg,31.2446,117.293,5.0,1771032926,https://www.meituan.com/meishi/1771032926/
天然呆（国购广场店）,国购广场,18.0,4.3,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1878994829_1636337532141.jpeg,31.8533,117.2563,5.9,1196194322,https://www.meituan.com/meishi/1196194322/
卡旺卡（1912店）,1912街区,18.0,4.3,奶茶/果汁,http://p1.meituan.net/w.h/bbia/76b550bd8d6cd0258b70fb5839637ca5144403.jpg,31.8416,117.2211,0.0,926830569,https://www.meituan.com/meishi/926830569/
遇苋烧仙草（包河环球新都会店）,新都会家乐福,6.0,4.8,奶茶/果汁,http://p0.meituan.net/w.h/merchant/9f76407f8659abdbc42c44d3c7d283c946841.jpg,31.8478,117.3019,4.2,1444882719,https://www.meituan.com/meishi/1444882719/
奈雪的茶（万象城店）,奥体中心,38.0,4.3,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/9e20ca5e40c7718ac6bbbe3f0554a4ed99696.png,31.7993,117.2309,15.0,187618047,https://www.meituan.com/meishi/187618047/
沪上阿姨鲜果茶（合肥建筑大学南校区店）,经开区,15.0,4.6,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1847347851_1637748790659.jpeg,31.747,117.2272,0.66,686663167,https://www.meituan.com/meishi/686663167/
蜜雪冰城（海恒步行街店）,经开区,6.0,3.8,冰淇淋,http://p1.meituan.net/w.h/biztone/2e5610e337d0a30c2ecf9cf00aa0f266162461.jpg,31.7778,117.259,0.1,1852505825,https://www.meituan.com/meishi/1852505825/
古茗（吾悦金街店）,龙泉路,15.0,4.6,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/7d336a36b70f959926e14f892ab9bb9421909.png,31.872,117.4584,13.0,1359729179,https://www.meituan.com/meishi/1359729179/
茶百道（新都会环球店）,新都会家乐福,15.0,4.5,奶茶/果汁,http://p0.meituan.net/w.h/biztone/b8df853928aacac04c8add55075cb030325791.jpg,31.847,117.3012,6.66,1349698807,https://www.meituan.com/meishi/1349698807/
CoCo都可（港澳广店）,中环城,13.0,3.8,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/05784081b1ed0587e4ea65172a76ef7114438.jpg,31.7911,117.209,5.0,1599084765,https://www.meituan.com/meishi/1599084765/
